Model,Lang,Smell,F1_fixed,F1_max_oracle,AUC,MCC
AE,CSharp,CM,0.3015,0.6599,0.8523,0.0071
AE,CSharp,CC,0.0949,0.2613,0.7573,0.0033
AE,CSharp,FE,0.0254,0.1073,0.8466,0.0000
AE,CSharp,MA,0.0043,0.0332,0.9067,0.0000
AE,Java,CM,0.5590,0.6824,0.7950,-0.0055
AE,Java,CC,0.2998,0.4125,0.6929,-0.0142
AE,Java,FE,0.0410,0.1363,0.8082,0.0000
AE,Java,MA,0.0105,0.0651,0.8144,0.0000
