Model,Lang,Smell,Mode,F1,AUC
Qwen,Java,CC,Semantic,0.066,0.38
Qwen,Java,CC,Semantic,0.0663,0.38
Qwen,Java,CC,Semantic,0.0672,0.38
Qwen,Java,CC,Semantic,0.0677,0.38
Qwen,Java,CC,Semantic,0.0728,0.38
Qwen,Java,CC,Structural,0.0595,0.378
Qwen,Java,CC,Structural,0.0709,0.378
Qwen,Java,CC,Structural,0.0708,0.378
Qwen,Java,CC,Structural,0.0641,0.378
Qwen,Java,CC,Structural,0.0647,0.378
Qwen,Java,CC,Hybrid,0.0681,0.376
Qwen,Java,CC,Hybrid,0.0709,0.376
Qwen,Java,CC,Hybrid,0.0694,0.376
Qwen,Java,CC,Hybrid,0.0542,0.376
Qwen,Java,CC,Hybrid,0.0674,0.376
Qwen,Java,CC,NLP,0.0886,0.364
Qwen,Java,CC,NLP,0.0907,0.364
Qwen,Java,CC,NLP,0.0988,0.364
Qwen,Java,CC,NLP,0.085,0.364
Qwen,Java,CC,NLP,0.0969,0.364
Qwen,Java,FE,Semantic,0.0,0.486
Qwen,Java,FE,Semantic,0.0,0.486
Qwen,Java,FE,Semantic,0.0,0.486
Qwen,Java,FE,Semantic,0.0,0.486
Qwen,Java,FE,Semantic,0.0,0.486
Qwen,Java,FE,Structural,0.0,0.488
Qwen,Java,FE,Structural,0.0,0.488
Qwen,Java,FE,Structural,0.0,0.488
Qwen,Java,FE,Structural,0.0,0.488
Qwen,Java,FE,Structural,0.0,0.488
Qwen,Java,FE,Hybrid,0.0,0.488
Qwen,Java,FE,Hybrid,0.0,0.488
Qwen,Java,FE,Hybrid,0.0,0.488
Qwen,Java,FE,Hybrid,0.0,0.488
Qwen,Java,FE,Hybrid,0.0,0.488
Qwen,Java,FE,NLP,0.0,0.499
Qwen,Java,FE,NLP,0.0,0.499
Qwen,Java,FE,NLP,0.0,0.499
Qwen,Java,FE,NLP,0.0,0.499
Qwen,Java,FE,NLP,0.0,0.499
Qwen,Java,MA,Semantic,0.0,0.5
Qwen,Java,MA,Semantic,0.0,0.5
Qwen,Java,MA,Semantic,0.0,0.5
Qwen,Java,MA,Semantic,0.0,0.5
Qwen,Java,MA,Semantic,0.0,0.5
Qwen,Java,MA,Structural,0.0,0.5
Qwen,Java,MA,Structural,0.0,0.5
Qwen,Java,MA,Structural,0.0,0.5
Qwen,Java,MA,Structural,0.0,0.5
Qwen,Java,MA,Structural,0.0,0.5
Qwen,Java,MA,Hybrid,0.0,0.5
Qwen,Java,MA,Hybrid,0.0,0.5
Qwen,Java,MA,Hybrid,0.0,0.5
Qwen,Java,MA,Hybrid,0.0,0.5
Qwen,Java,MA,Hybrid,0.0,0.5
Qwen,Java,MA,NLP,0.0,0.5
Qwen,Java,MA,NLP,0.0,0.5
Qwen,Java,MA,NLP,0.0,0.5
Qwen,Java,MA,NLP,0.0,0.5
Qwen,Java,MA,NLP,0.0,0.5
